Domain,Area,Element,Item,Year,Unit,Value
"Crops","Africa","Production","Cereals,Total","2004","tonnes","133575914"
"Crops","Africa","Production","Cereals,Total","2005","tonnes","141809036"
"Crops","Africa","Production","Cereals,Total","2006","tonnes","149680930"
"Crops","Africa","Production","Cereals,Total","2007","tonnes","139605356"
"Crops","Africa","Production","Cereals,Total","2008","tonnes","155071809"
"Crops","Africa","Production","Cereals,Total","2009","tonnes","159462754"
"Crops","Africa","Production","Cereals,Total","2010","tonnes","166598845"
"Crops","Africa","Production","Cereals,Total","2011","tonnes","163248948"
"Crops","Africa","Production","Cereals,Total","2012","tonnes","171633731"
"Crops","Africa","Production","Cereals,Total","2013","tonnes","176499589"
"Crops","Africa","Production","Cereals,Total","2014","tonnes","188225678"
"Crops","Africa","Production","Citrus Fruit,Total","2004","tonnes","12554835"
"Crops","Africa","Production","Citrus Fruit,Total","2005","tonnes","13184162"
"Crops","Africa","Production","Citrus Fruit,Total","2006","tonnes","13715401"
"Crops","Africa","Production","Citrus Fruit,Total","2007","tonnes","13650146"
"Crops","Africa","Production","Citrus Fruit,Total","2008","tonnes","14156843"
"Crops","Africa","Production","Citrus Fruit,Total","2009","tonnes","15172973"
"Crops","Africa","Production","Citrus Fruit,Total","2010","tonnes","15684772"
"Crops","Africa","Production","Citrus Fruit,Total","2011","tonnes","16818754"
"Crops","Africa","Production","Citrus Fruit,Total","2012","tonnes","17491072"
"Crops","Africa","Production","Citrus Fruit,Total","2013","tonnes","17865095"
"Crops","Africa","Production","Citrus Fruit,Total","2014","tonnes","18752976"
"Crops","Africa","Production","Coarse Grain, Total","2004","tonnes","92560868"
"Crops","Africa","Production","Coarse Grain, Total","2005","tonnes","100640129"
"Crops","Africa","Production","Coarse Grain, Total","2006","tonnes","103068547"
"Crops","Africa","Production","Coarse Grain, Total","2007","tonnes","99727598"
"Crops","Africa","Production","Coarse Grain, Total","2008","tonnes","111007165"
"Crops","Africa","Production","Coarse Grain, Total","2009","tonnes","110110360"
"Crops","Africa","Production","Coarse Grain, Total","2010","tonnes","119649748"
"Crops","Africa","Production","Coarse Grain, Total","2011","tonnes","111429183"
"Crops","Africa","Production","Coarse Grain, Total","2012","tonnes","118215030"
"Crops","Africa","Production","Coarse Grain, Total","2013","tonnes","120141216"
"Crops","Africa","Production","Coarse Grain, Total","2014","tonnes","132237157"
"Crops","Africa","Production","Fibre Crops Primary","2004","tonnes","2014227"
"Crops","Africa","Production","Fibre Crops Primary","2005","tonnes","1980026"
"Crops","Africa","Production","Fibre Crops Primary","2006","tonnes","1804350"
"Crops","Africa","Production","Fibre Crops Primary","2007","tonnes","1552465"
"Crops","Africa","Production","Fibre Crops Primary","2008","tonnes","1552859"
"Crops","Africa","Production","Fibre Crops Primary","2009","tonnes","1283059"
"Crops","Africa","Production","Fibre Crops Primary","2010","tonnes","1365893"
"Crops","Africa","Production","Fibre Crops Primary","2011","tonnes","1404593"
"Crops","Africa","Production","Fibre Crops Primary","2012","tonnes","1721189"
"Crops","Africa","Production","Fibre Crops Primary","2013","tonnes","1673556"
"Crops","Africa","Production","Fibre Crops Primary","2014","tonnes","1801297"
"Crops","Africa","Production","Fruit Primary","2004","tonnes","77962277"
"Crops","Africa","Production","Fruit Primary","2005","tonnes","80645213"
"Crops","Africa","Production","Fruit Primary","2006","tonnes","85004036"
"Crops","Africa","Production","Fruit Primary","2007","tonnes","85559280"
"Crops","Africa","Production","Fruit Primary","2008","tonnes","82379333"
"Crops","Africa","Production","Fruit Primary","2009","tonnes","88634235"
"Crops","Africa","Production","Fruit Primary","2010","tonnes","90538586"
"Crops","Africa","Production","Fruit Primary","2011","tonnes","92739974"
"Crops","Africa","Production","Fruit Primary","2012","tonnes","95361253"
"Crops","Africa","Production","Fruit Primary","2013","tonnes","98911874"
"Crops","Africa","Production","Fruit Primary","2014","tonnes","100585525"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2004","tonnes","8335504"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2005","tonnes","8741462"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2006","tonnes","8875816"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2007","tonnes","8153578"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2008","tonnes","8747530"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2009","tonnes","9050018"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2010","tonnes","9822887"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2011","tonnes","10392043"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2012","tonnes","11820336"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2013","tonnes","12874484"
"Crops","Africa","Production","Oilcrops, Cake Equivalent","2014","tonnes","14178562"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2004","tonnes","8174821"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2005","tonnes","8550568"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2006","tonnes","8887650"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2007","tonnes","8461677"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2008","tonnes","9102064"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2009","tonnes","9320394"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2010","tonnes","9849896"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2011","tonnes","10237543"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2012","tonnes","11143488"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2013","tonnes","12070622"
"Crops","Africa","Production","Oilcrops, Oil Equivalent","2014","tonnes","12760913"
"Crops","Africa","Production","Pulses,Total","2004","tonnes","10667287"
"Crops","Africa","Production","Pulses,Total","2005","tonnes","11499444"
"Crops","Africa","Production","Pulses,Total","2006","tonnes","12583713"
