Domain,Area,Element,Item,Year,Unit,Value
"Crops processed","Africa","Production","Beer of barley","2004","tonnes","7373055"
"Crops processed","Africa","Production","Beer of barley","2005","tonnes","7565085"
"Crops processed","Africa","Production","Beer of barley","2006","tonnes","7699324"
"Crops processed","Africa","Production","Beer of barley","2007","tonnes","8307540"
"Crops processed","Africa","Production","Beer of barley","2008","tonnes","9248233"
"Crops processed","Africa","Production","Beer of barley","2009","tonnes","9870078"
"Crops processed","Africa","Production","Beer of barley","2010","tonnes","10037749"
"Crops processed","Africa","Production","Beer of barley","2011","tonnes","11015395"
"Crops processed","Africa","Production","Beer of barley","2012","tonnes","12594583"
"Crops processed","Africa","Production","Beer of barley","2013","tonnes","13199118"
"Crops processed","Africa","Production","Beer of barley","2014","tonnes","13815581"
"Crops processed","Africa","Production","Cotton lint","2004","tonnes","1861603"
"Crops processed","Africa","Production","Cotton lint","2005","tonnes","1822965"
"Crops processed","Africa","Production","Cotton lint","2006","tonnes","1647949"
"Crops processed","Africa","Production","Cotton lint","2007","tonnes","1394731"
"Crops processed","Africa","Production","Cotton lint","2008","tonnes","1395705"
"Crops processed","Africa","Production","Cotton lint","2009","tonnes","1139297"
"Crops processed","Africa","Production","Cotton lint","2010","tonnes","1211274"
"Crops processed","Africa","Production","Cotton lint","2011","tonnes","1246953"
"Crops processed","Africa","Production","Cotton lint","2012","tonnes","1562047"
"Crops processed","Africa","Production","Cotton lint","2013","tonnes","1507061"
"Crops processed","Africa","Production","Cotton lint","2014","tonnes","1636724"
"Crops processed","Africa","Production","Cottonseed","2004","tonnes","3058545"
"Crops processed","Africa","Production","Cottonseed","2005","tonnes","3094289"
"Crops processed","Africa","Production","Cottonseed","2006","tonnes","2725700"
"Crops processed","Africa","Production","Cottonseed","2007","tonnes","2432547"
"Crops processed","Africa","Production","Cottonseed","2008","tonnes","2306306"
"Crops processed","Africa","Production","Cottonseed","2009","tonnes","1952205"
"Crops processed","Africa","Production","Cottonseed","2010","tonnes","2109696"
"Crops processed","Africa","Production","Cottonseed","2011","tonnes","2302231"
"Crops processed","Africa","Production","Cottonseed","2012","tonnes","2897541"
"Crops processed","Africa","Production","Cottonseed","2013","tonnes","2674938"
"Crops processed","Africa","Production","Cottonseed","2014","tonnes","2741307"
"Crops processed","Africa","Production","Margarine, short","2004","tonnes","389328"
"Crops processed","Africa","Production","Margarine, short","2005","tonnes","382243"
"Crops processed","Africa","Production","Margarine, short","2006","tonnes","396735"
"Crops processed","Africa","Production","Margarine, short","2007","tonnes","389112"
"Crops processed","Africa","Production","Margarine, short","2008","tonnes","417394"
"Crops processed","Africa","Production","Margarine, short","2009","tonnes","387786"
"Crops processed","Africa","Production","Margarine, short","2010","tonnes","379311"
"Crops processed","Africa","Production","Margarine, short","2011","tonnes","348192"
"Crops processed","Africa","Production","Margarine, short","2012","tonnes","362303"
"Crops processed","Africa","Production","Margarine, short","2013","tonnes","379613"
"Crops processed","Africa","Production","Margarine, short","2014","tonnes","377274"
"Crops processed","Africa","Production","Molasses","2004","tonnes","3370840"
"Crops processed","Africa","Production","Molasses","2005","tonnes","3525616"
"Crops processed","Africa","Production","Molasses","2006","tonnes","3568611"
"Crops processed","Africa","Production","Molasses","2007","tonnes","3495456"
"Crops processed","Africa","Production","Molasses","2008","tonnes","3398033"
"Crops processed","Africa","Production","Molasses","2009","tonnes","3448694"
"Crops processed","Africa","Production","Molasses","2010","tonnes","3428857"
"Crops processed","Africa","Production","Molasses","2011","tonnes","3760432"
"Crops processed","Africa","Production","Molasses","2012","tonnes","4177323"
"Crops processed","Africa","Production","Molasses","2013","tonnes","4275929"
"Crops processed","Africa","Production","Molasses","2014","tonnes","4381155"
"Crops processed","Africa","Production","Oil, coconut (copra)","2004","tonnes","112986"
"Crops processed","Africa","Production","Oil, coconut (copra)","2005","tonnes","128392"
"Crops processed","Africa","Production","Oil, coconut (copra)","2006","tonnes","106664"
"Crops processed","Africa","Production","Oil, coconut (copra)","2007","tonnes","105901"
"Crops processed","Africa","Production","Oil, coconut (copra)","2008","tonnes","108096"
"Crops processed","Africa","Production","Oil, coconut (copra)","2009","tonnes","125016"
"Crops processed","Africa","Production","Oil, coconut (copra)","2010","tonnes","117272"
"Crops processed","Africa","Production","Oil, coconut (copra)","2011","tonnes","116503"
"Crops processed","Africa","Production","Oil, coconut (copra)","2012","tonnes","112864"
"Crops processed","Africa","Production","Oil, coconut (copra)","2013","tonnes","109179"
"Crops processed","Africa","Production","Oil, coconut (copra)","2014","tonnes","108602"
"Crops processed","Africa","Production","Oil, cottonseed","2004","tonnes","381633"
"Crops processed","Africa","Production","Oil, cottonseed","2005","tonnes","392337"
"Crops processed","Africa","Production","Oil, cottonseed","2006","tonnes","359864"
"Crops processed","Africa","Production","Oil, cottonseed","2007","tonnes","331599"
"Crops processed","Africa","Production","Oil, cottonseed","2008","tonnes","303841"
"Crops processed","Africa","Production","Oil, cottonseed","2009","tonnes","268446"
"Crops processed","Africa","Production","Oil, cottonseed","2010","tonnes","226596"
"Crops processed","Africa","Production","Oil, cottonseed","2011","tonnes","269492"
"Crops processed","Africa","Production","Oil, cottonseed","2012","tonnes","372262"
