Domain,Area,Element,Item,Year,Unit,Value
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2004","Head","246351093"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2005","Head","254476350"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2006","Head","259239126"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2007","Head","271605551"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2008","Head","279666264"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2009","Head","284077469"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2010","Head","291111003"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2011","Head","296256111"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2012","Head","306356327"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2013","Head","310550864"
"Live Animals","Africa","Stocks","Cattle and Buffaloes","2014","Head","316340985"
"Live Animals","Africa","Stocks","Poultry Birds","2004","1000 Head","1388627"
"Live Animals","Africa","Stocks","Poultry Birds","2005","1000 Head","1377478"
"Live Animals","Africa","Stocks","Poultry Birds","2006","1000 Head","1413163"
"Live Animals","Africa","Stocks","Poultry Birds","2007","1000 Head","1524867"
"Live Animals","Africa","Stocks","Poultry Birds","2008","1000 Head","1586243"
"Live Animals","Africa","Stocks","Poultry Birds","2009","1000 Head","1666187"
"Live Animals","Africa","Stocks","Poultry Birds","2010","1000 Head","1759020"
"Live Animals","Africa","Stocks","Poultry Birds","2011","1000 Head","1745316"
"Live Animals","Africa","Stocks","Poultry Birds","2012","1000 Head","1815470"
"Live Animals","Africa","Stocks","Poultry Birds","2013","1000 Head","1828888"
"Live Animals","Africa","Stocks","Poultry Birds","2014","1000 Head","1876524"
"Live Animals","Africa","Stocks","Sheep and Goats","2004","Head","541772608"
"Live Animals","Africa","Stocks","Sheep and Goats","2005","Head","557186194"
"Live Animals","Africa","Stocks","Sheep and Goats","2006","Head","562357197"
"Live Animals","Africa","Stocks","Sheep and Goats","2007","Head","602017756"
"Live Animals","Africa","Stocks","Sheep and Goats","2008","Head","616065052"
"Live Animals","Africa","Stocks","Sheep and Goats","2009","Head","625869125"
"Live Animals","Africa","Stocks","Sheep and Goats","2010","Head","643024092"
"Live Animals","Africa","Stocks","Sheep and Goats","2011","Head","657010791"
"Live Animals","Africa","Stocks","Sheep and Goats","2012","Head","680514618"
"Live Animals","Africa","Stocks","Sheep and Goats","2013","Head","704073688"
"Live Animals","Africa","Stocks","Sheep and Goats","2014","Head","720240791"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2004","Head","508530773"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2005","Head","512944466"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2006","Head","515798816"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2007","Head","511543499"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2008","Head","514042538"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2009","Head","514017559"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2010","Head","510815190"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2011","Head","510654161"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2012","Head","510515165"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2013","Head","510190521"
"Live Animals","Americas","Stocks","Cattle and Buffaloes","2014","Head","511402384"
"Live Animals","Americas","Stocks","Poultry Birds","2004","1000 Head","4971893"
"Live Animals","Americas","Stocks","Poultry Birds","2005","1000 Head","5144515"
"Live Animals","Americas","Stocks","Poultry Birds","2006","1000 Head","5224454"
"Live Animals","Americas","Stocks","Poultry Birds","2007","1000 Head","5401185"
"Live Animals","Americas","Stocks","Poultry Birds","2008","1000 Head","5552473"
"Live Animals","Americas","Stocks","Poultry Birds","2009","1000 Head","5511247"
"Live Animals","Americas","Stocks","Poultry Birds","2010","1000 Head","5635098"
"Live Animals","Americas","Stocks","Poultry Birds","2011","1000 Head","5609080"
"Live Animals","Americas","Stocks","Poultry Birds","2012","1000 Head","5628423"
"Live Animals","Americas","Stocks","Poultry Birds","2013","1000 Head","5643120"
"Live Animals","Americas","Stocks","Poultry Birds","2014","1000 Head","5827644"
"Live Animals","Americas","Stocks","Sheep and Goats","2004","Head","125679582"
"Live Animals","Americas","Stocks","Sheep and Goats","2005","Head","128316590"
"Live Animals","Americas","Stocks","Sheep and Goats","2006","Head","130104337"
"Live Animals","Americas","Stocks","Sheep and Goats","2007","Head","129388066"
"Live Animals","Americas","Stocks","Sheep and Goats","2008","Head","129019775"
"Live Animals","Americas","Stocks","Sheep and Goats","2009","Head","127231775"
"Live Animals","Americas","Stocks","Sheep and Goats","2010","Head","126171207"
"Live Animals","Americas","Stocks","Sheep and Goats","2011","Head","125602528"
"Live Animals","Americas","Stocks","Sheep and Goats","2012","Head","121720719"
"Live Animals","Americas","Stocks","Sheep and Goats","2013","Head","122074912"
"Live Animals","Americas","Stocks","Sheep and Goats","2014","Head","119366183"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2004","Head","598798040"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2005","Head","606923879"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2006","Head","620726112"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2007","Head","627035668"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2008","Head","631599445"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2009","Head","635696227"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2010","Head","639741455"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2011","Head","643156066"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2012","Head","644430464"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2013","Head","644318482"
"Live Animals","Asia","Stocks","Cattle and Buffaloes","2014","Head","645912527"
"Live Animals","Asia","Stocks","Poultry Birds","2004","1000 Head","10132363"
"Live Animals","Asia","Stocks","Poultry Birds","2005","1000 Head","10487001"
"Live Animals","Asia","Stocks","Poultry Birds","2006","1000 Head","10737291"
"Live Animals","Asia","Stocks","Poultry Birds","2007","1000 Head","11067289"
"Live Animals","Asia","Stocks","Poultry Birds","2008","1000 Head","11628004"
