Domain,Area,Element,Item,Year,Unit,Value
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2004","tonnes","4760925"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2005","tonnes","5056737"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2006","tonnes","5227063"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2007","tonnes","5351200"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2008","tonnes","5566453"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2009","tonnes","5637663"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2010","tonnes","5852793"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2011","tonnes","5945116"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2012","tonnes","6089313"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2013","tonnes","6376546"
"Livestock Primary","Africa","Production","Beef and Buffalo Meat","2014","tonnes","6458181"
"Livestock Primary","Africa","Production","Eggs Primary","2004","tonnes","2260475"
"Livestock Primary","Africa","Production","Eggs Primary","2005","tonnes","2319182"
"Livestock Primary","Africa","Production","Eggs Primary","2006","tonnes","2415544"
"Livestock Primary","Africa","Production","Eggs Primary","2007","tonnes","2550266"
"Livestock Primary","Africa","Production","Eggs Primary","2008","tonnes","2610908"
"Livestock Primary","Africa","Production","Eggs Primary","2009","tonnes","2561513"
"Livestock Primary","Africa","Production","Eggs Primary","2010","tonnes","2763470"
"Livestock Primary","Africa","Production","Eggs Primary","2011","tonnes","2901972"
"Livestock Primary","Africa","Production","Eggs Primary","2012","tonnes","3167328"
"Livestock Primary","Africa","Production","Eggs Primary","2013","tonnes","3024761"
"Livestock Primary","Africa","Production","Eggs Primary","2014","tonnes","3313488"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2004","tonnes","3370866"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2005","tonnes","3463939"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2006","tonnes","3557412"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2007","tonnes","3930678"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2008","tonnes","4186467"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2009","tonnes","4403771"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2010","tonnes","4725146"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2011","tonnes","4737667"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2012","tonnes","4786348"
"Livestock Primary","Africa","Production","Meat indigenous, poultry","2013","tonnes","4911495"
"Livestock Primary","Africa","Production","Meat indigenous, total","2004","tonnes","12797846"
"Livestock Primary","Africa","Production","Meat indigenous, total","2005","tonnes","13324253"
"Livestock Primary","Africa","Production","Meat indigenous, total","2006","tonnes","13807143"
"Livestock Primary","Africa","Production","Meat indigenous, total","2007","tonnes","14581447"
"Livestock Primary","Africa","Production","Meat indigenous, total","2008","tonnes","15384924"
"Livestock Primary","Africa","Production","Meat indigenous, total","2009","tonnes","15797441"
"Livestock Primary","Africa","Production","Meat indigenous, total","2010","tonnes","16356307"
"Livestock Primary","Africa","Production","Meat indigenous, total","2011","tonnes","16633996"
"Livestock Primary","Africa","Production","Meat indigenous, total","2012","tonnes","15791016"
"Livestock Primary","Africa","Production","Meat indigenous, total","2013","tonnes","16128375"
"Livestock Primary","Africa","Production","Meat indigenous, total","2014","tonnes","1336420"
"Livestock Primary","Africa","Production","Meat, Poultry","2004","tonnes","3412625"
"Livestock Primary","Africa","Production","Meat, Poultry","2005","tonnes","3540536"
"Livestock Primary","Africa","Production","Meat, Poultry","2006","tonnes","3598478"
"Livestock Primary","Africa","Production","Meat, Poultry","2007","tonnes","3999279"
"Livestock Primary","Africa","Production","Meat, Poultry","2008","tonnes","4252244"
"Livestock Primary","Africa","Production","Meat, Poultry","2009","tonnes","4477690"
"Livestock Primary","Africa","Production","Meat, Poultry","2010","tonnes","4790689"
"Livestock Primary","Africa","Production","Meat, Poultry","2011","tonnes","4900257"
"Livestock Primary","Africa","Production","Meat, Poultry","2012","tonnes","5100764"
