Domain,Area,Element,Item,Year,Unit,Value
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2004","tonnes","1589"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2005","tonnes","1613"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2006","tonnes","1709"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2007","tonnes","1806"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2008","tonnes","1907"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2009","tonnes","1892"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2010","tonnes","2173"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2011","tonnes","2203"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2012","tonnes","2315"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2013","tonnes","2412"
"Livestock Processed","Africa","Production","Butter and ghee, sheep milk","2014","tonnes","2255"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2004","tonnes","83200"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2005","tonnes","84500"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2006","tonnes","84500"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2007","tonnes","92300"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2008","tonnes","92300"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2009","tonnes","94600"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2010","tonnes","92950"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2011","tonnes","90050"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2012","tonnes","89900"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2013","tonnes","88400"
"Livestock Processed","Africa","Production","Butter, buffalo milk","2014","tonnes","88400"
"Livestock Processed","Africa","Production","Butter, cow milk","2004","tonnes","127898"
"Livestock Processed","Africa","Production","Butter, cow milk","2005","tonnes","136685"
"Livestock Processed","Africa","Production","Butter, cow milk","2006","tonnes","149278"
"Livestock Processed","Africa","Production","Butter, cow milk","2007","tonnes","160488"
"Livestock Processed","Africa","Production","Butter, cow milk","2008","tonnes","163265"
"Livestock Processed","Africa","Production","Butter, cow milk","2009","tonnes","169991"
"Livestock Processed","Africa","Production","Butter, cow milk","2010","tonnes","173490"
"Livestock Processed","Africa","Production","Butter, cow milk","2011","tonnes","180645"
"Livestock Processed","Africa","Production","Butter, cow milk","2012","tonnes","196377"
"Livestock Processed","Africa","Production","Butter, cow milk","2013","tonnes","195953"
"Livestock Processed","Africa","Production","Butter, cow milk","2014","tonnes","199157"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2004","tonnes","137887"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2005","tonnes","139108"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2006","tonnes","140181"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2007","tonnes","141544"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2008","tonnes","143015"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2009","tonnes","144008"
"Livestock Processed","Africa","Production","Cheese of goat mlk","2010","tonnes","146075"
